id;name;dev;adm;dip;mil;goods;trade_area;flag;country;religion;culture;cult_group;type;continent;large_region;region;area
53;Lüneburg;8.0;3.0;3.0;2.0;Salt;Lübeck;;Lüneburg;Catholic;Westphalian;Germanic;Land;Europe;Western Europe;North Germany;Lower Saxony
54;Stade;10.0;3.0;3.0;4.0;Fish;Lübeck;;Verden;Catholic;Westphalian;Germanic;Land;Europe;Western Europe;North Germany;Weser
55;Oldenburg;7.0;3.0;2.0;2.0;Salt;Lübeck;;Oldenburg;Catholic;Westphalian;Germanic;Land;Europe;Western Europe;North Germany;Weser
56;Osnabrück;6.0;2.0;2.0;2.0;Salt;Rheinland;;Münster;Catholic;Westphalian;Germanic;Land;Europe;Western Europe;North Germany;Westphalia
57;Brunswick;11.0;4.0;4.0;3.0;Iron;Saxony;;Brunswick;Catholic;Westphalian;Germanic;Land;Europe;Western Europe;North Germany;Braunschweig
58;Anhalt;6.0;2.0;2.0;2.0;Wool;Saxony;;Anhalt;Catholic;Saxon;Germanic;Land;Europe;Western Europe;North Germany;Northern Saxony
59;Wittenberg;10.0;4.0;4.0;2.0;Wool;Saxony;;Saxony;Catholic;Saxon;Germanic;Land;Europe;Western Europe;North Germany;South Saxony
60;Oberlausitz;7.0;3.0;3.0;1.0;Cloth;Saxony;;Bohemia;Catholic;Saxon;Germanic;Land;Europe;Western Europe;North Germany;South Saxony
61;Dresden;14.0;6.0;6.0;2.0;Iron;Saxony;;Saxony;Catholic;Saxon;Germanic;Land;Europe;Western Europe;North Germany;South Saxony
62;Leipzig;10.0;4.0;4.0;2.0;Wool;Saxony;;Saxony;Catholic;Saxon;Germanic;Land;Europe;Western Europe;North Germany;Thuringia
63;Thüringen;7.0;3.0;3.0;1.0;Dyes;Saxony;;Saxony;Catholic;Saxon;Germanic;Land;Europe;Western Europe;North Germany;Thuringia
64;Landshut;12.0;5.0;5.0;2.0;Salt;Wien;;Bavaria;Catholic;Bavarian;Germanic;Land;Europe;Western Europe;South Germany;Lower Bavaria
65;München;15.0;6.0;6.0;3.0;Grain;Wien;;Bavaria;Catholic;Bavarian;Germanic;Land;Europe;Western Europe;South Germany;Upper Bavaria
66;Bamberg;6.0;2.0;2.0;2.0;Wine;Rheinland;;Wurzburg;Catholic;Franconian;Germanic;Land;Europe;Western Europe;South Germany;Franconia
67;Nürnberg;19.0;8.0;8.0;3.0;Paper;Rheinland;;Nuremberg;Catholic;Franconian;Germanic;Land;Europe;Western Europe;South Germany;Franconia
68;Memmingen;13.0;5.0;5.0;3.0;Cloth;Wien;;Memmingen;Catholic;Swabian;Germanic;Land;Europe;Western Europe;South Germany;Upper Swabia
69;Oberschwaben;11.0;5.0;5.0;1.0;Cloth;Wien;;Ravensburg;Catholic;Swabian;Germanic;Land;Europe;Western Europe;South Germany;Upper Swabia
70;Württemberg;8.0;3.0;3.0;2.0;Grain;Wien;;Wurttemberg;Catholic;Swabian;Germanic;Land;Europe;Western Europe;South Germany;Lower Swabia
71;Ansbach;7.0;3.0;3.0;1.0;Salt;Wien;;Ansbach;Catholic;Franconian;Germanic;Land;Europe;Western Europe;South Germany;Lower Swabia
72;Breisgau;5.0;2.0;2.0;1.0;Glass;Rheinland;;Baden;Catholic;Swabian;Germanic;Land;Europe;Western Europe;South Germany;Upper Rhineland
73;Tirol;10.0;4.0;4.0;2.0;Gold;Wien;;Austria;Catholic;Austrian;Germanic;Land;Europe;Western Europe;South Germany;Tirol
74;Baden;5.0;2.0;2.0;1.0;Wine;Rheinland;;Baden;Catholic;Swabian;Germanic;Land;Europe;Western Europe;South Germany;Upper Rhineland
75;Elsass;13.0;4.0;4.0;5.0;Paper;Rheinland;;Alsace;Catholic;Swabian;Germanic;Land;Europe;Western Europe;South Germany;Upper Rhineland
76;Salzburg;16.0;6.0;6.0;4.0;Salt;Wien;;Salzburg;Catholic;Austrian;Germanic;Land;Europe;Western Europe;South Germany;Upper Bavaria
77;Heidelberg;10.0;4.0;4.0;2.0;Wine;Rheinland;;The Palatinate;Catholic;Rhenish;Germanic;Land;Europe;Western Europe;South Germany;Palatinate
78;Mainz;12.0;5.0;5.0;2.0;Paper;Rheinland;;Mainz;Catholic;Rhenish;Germanic;Land;Europe;Western Europe;South Germany;Palatinate
79;Würzburg;6.0;2.0;2.0;2.0;Wine;Rheinland;;Wurzburg;Catholic;Franconian;Germanic;Land;Europe;Western Europe;South Germany;Franconia
80;Trier;12.0;5.0;5.0;2.0;Grain;Rheinland;;Trier;Catholic;Rhenish;Germanic;Land;Europe;Western Europe;North Germany;Lower Rhineland
81;Hessen;10.0;4.0;4.0;2.0;Wool;Rheinland;;Hesse;Catholic;Rhenish;Germanic;Land;Europe;Western Europe;North Germany;Hesse
82;Westfalen;7.0;3.0;3.0;1.0;Wool;Rheinland;;Cologne;Catholic;Westphalian;Germanic;Land;Europe;Western Europe;North Germany;Westphalia
83;Nassau;5.0;2.0;2.0;1.0;Copper;Rheinland;;Nassau;Catholic;Rhenish;Germanic;Land;Europe;Western Europe;North Germany;Hesse
84;Berg;9.0;4.0;4.0;1.0;Cloth;Rheinland;;Cleves;Catholic;Rhenish;Germanic;Land;Europe;Western Europe;North Germany;North Rhine
85;Köln;15.0;6.0;6.0;3.0;Paper;Rheinland;Inland Center of Trade;Cologne;Catholic;Rhenish;Germanic;Land;Europe;Western Europe;North Germany;North Rhine
86;Münster;10.0;4.0;4.0;2.0;Cloth;Rheinland;;Münster;Catholic;Westphalian;Germanic;Land;Europe;Western Europe;North Germany;Westphalia
87;Calais;13.0;5.0;5.0;3.0;Fish;English Channel;;England;Catholic;Flemish;Germanic;Land;Europe;Western Europe;Low Countries;Flanders
88;Artois;15.0;6.0;6.0;3.0;Cloth;English Channel;;Burgundy;Catholic;Walloon;French;Land;Europe;Western Europe;France;Picardy
89;Picardie;17.0;6.0;6.0;5.0;Grain;English Channel;;Burgundy;Catholic;Francien;French;Land;Europe;Western Europe;France;Picardy
90;Vlaanderen;15.0;6.0;6.0;3.0;Cloth;English Channel;;Flanders;Catholic;Flemish;Germanic;Land;Europe;Western Europe;Low Countries;Flanders
91;Hainaut;15.0;6.0;6.0;3.0;Cloth;Champagne;;Burgundy;Catholic;Walloon;French;Land;Europe;Western Europe;Low Countries;Wallonia
92;Brabant;20.0;8.0;8.0;4.0;Cloth;English Channel;;Brabant;Catholic;Flemish;Germanic;Land;Europe;Western Europe;Low Countries;Brabant
93;Liège;15.0;6.0;6.0;3.0;Glass;Champagne;;Liege;Catholic;Walloon;French;Land;Europe;Western Europe;Low Countries;Liege
94;Luxemburg;14.0;6.0;6.0;2.0;Iron;Champagne;;Burgundy;Catholic;Walloon;French;Land;Europe;Western Europe;Low Countries;Liege
95;Breda;18.0;7.0;7.0;4.0;Cloth;English Channel;;Brabant;Catholic;Dutch;Germanic;Land;Europe;Western Europe;Low Countries;Brabant
96;Zeeland;19.0;8.0;8.0;3.0;Salt;English Channel;;Holland;Catholic;Dutch;Germanic;Land;Europe;Western Europe;Low Countries;Netherlands
97;Holland;21.0;8.0;8.0;5.0;Fish;English Channel;Coastal Center of Trade / Rhine Estuary;Holland;Catholic;Dutch;Germanic;Land;Europe;Western Europe;Low Countries;Netherlands
98;Utrecht;17.0;7.0;7.0;3.0;Cloth;English Channel;;Utrecht;Catholic;Dutch;Germanic;Land;Europe;Western Europe;Low Countries;Netherlands
99;Gelre;15.0;6.0;6.0;3.0;Livestock;English Channel;;Gelre;Catholic;Dutch;Germanic;Land;Europe;Western Europe;Low Countries;Frisia
100;Friesland;16.0;6.0;6.0;4.0;Livestock;English Channel;;Friesland;Catholic;Dutch;Germanic;Land;Europe;Western Europe;Low Countries;Frisia
101;Genoa;25.0;10.0;10.0;5.0;Paper;Genoa;Coastal Center of Trade;Genoa;Catholic;Ligurian;Latin;Land;Europe;Western Europe;Italy;Liguria
102;Nice;10.0;4.0;4.0;2.0;Fish;Genoa;;Savoy;Catholic;Ligurian;Latin;Land;Europe;Western Europe;Italy;Liguria
103;Piedmont;17.0;7.0;7.0;3.0;Wine;Genoa;;Savoy;Catholic;Piedmontese;Latin;Land;Europe;Western Europe;Italy;Piedmont
104;Milan;30.0;11.0;11.0;8.0;Cloth;Venice;Inland Center of Trade;Milan;Catholic;Lombard;Latin;Land;Europe;Western Europe;Italy;Lombardy
105;Parma;16.0;6.0;6.0;4.0;Livestock;Venice;;Milan;Catholic;Romagnan;Latin;Land;Europe;Western Europe;Italy;Emilia-Romagna
106;Modena;12.0;5.0;5.0;2.0;Livestock;Venice;;Ferrara;Catholic;Romagnan;Latin;Land;Europe;Western Europe;Italy;Emilia-Romagna
107;Brescia;20.0;8.0;8.0;4.0;Cloth;Venice;;Venice;Catholic;Lombard;Latin;Land;Europe;Western Europe;Italy;Lombardy
108;Verona;21.0;8.0;8.0;5.0;Grain;Venice;;Venice;Catholic;Venetian;Latin;Land;Europe;Western Europe;Italy;Venetia
109;Mantua;22.0;9.0;9.0;4.0;Livestock;Venice;;Mantua;Catholic;Romagnan;Latin;Land;Europe;Western Europe;Italy;Lombardy
110;Trent;9.0;4.0;4.0;1.0;Iron;Wien;;Austria;Catholic;Venetian;Latin;Land;Europe;Western Europe;South Germany;Tirol
111;Friuli;14.0;6.0;6.0;2.0;Wine;Venice;;Venice;Catholic;Venetian;Latin;Land;Europe;Western Europe;Italy;Venetia
112;Venezia;27.0;10.0;12.0;5.0;Glass;Venice;Coastal Center of Trade;Venice;Catholic;Venetian;Latin;Land;Europe;Western Europe;Italy;Venetia
113;Ferrara;14.0;6.0;6.0;2.0;Salt;Venice;Po Estuary;Ferrara;Catholic;Romagnan;Latin;Land;Europe;Western Europe;Italy;Emilia-Romagna
114;Romagna;16.0;6.0;6.0;4.0;Salt;Venice;;The Papal State;Catholic;Romagnan;Latin;Land;Europe;Western Europe;Italy;Emilia-Romagna
115;Pisa;15.0;6.0;6.0;3.0;Wine;Genoa;;Florence;Catholic;Tuscan;Latin;Land;Europe;Western Europe;Italy;Tuscany
116;Firenze;28.0;10.0;12.0;6.0;Wine;Genoa;Inland Center of Trade;Florence;Catholic;Tuscan;Latin;Land;Europe;Western Europe;Italy;Tuscany
117;Siena;20.0;8.0;8.0;4.0;Glass;Genoa;;Siena;Catholic;Tuscan;Latin;Land;Europe;Western Europe;Italy;Tuscany
118;Roma;28.0;10.0;10.0;8.0;Paper;Genoa;Religious Center;The Papal State;Catholic;Umbrian;Latin;Land;Europe;Western Europe;Italy;Lazio-Campania
119;Ancona;14.0;5.0;5.0;4.0;Paper;Venice;;The Papal State;Catholic;Umbrian;Latin;Land;Europe;Western Europe;Italy;Central Italy
120;Abruzzi;13.0;5.0;5.0;3.0;Wine;Venice;;Naples;Catholic;Neapolitan;Latin;Land;Europe;Western Europe;Italy;Central Italy
121;Napoli;25.0;9.0;9.0;7.0;Grain;Genoa;Coastal Center of Trade;Naples;Catholic;Neapolitan;Latin;Land;Europe;Western Europe;Italy;Lazio-Campania
122;Salento;8.0;3.0;3.0;2.0;Wine;Venice;;Naples;Catholic;Neapolitan;Latin;Land;Europe;Western Europe;Italy;Apulia
123;Calabria;6.0;2.0;2.0;2.0;Fish;Genoa;;Naples;Catholic;Sicilian;Latin;Land;Europe;Western Europe;Italy;Calabria
124;Messina;17.0;6.0;6.0;5.0;Fish;Genoa;;Aragon;Catholic;Sicilian;Latin;Land;Europe;Western Europe;Italy;Sicily
125;Palermo;20.0;8.0;8.0;4.0;Wine;Genoa;;Aragon;Catholic;Sicilian;Latin;Land;Europe;Western Europe;Italy;Sicily
126;Malta;8.0;3.0;3.0;2.0;Fish;Genoa;;Aragon;Catholic;Maltese;Latin;Land;Europe;Western Europe;Italy;Sicily
127;Sassari;8.0;3.0;3.0;2.0;Fish;Genoa;;Aragon;Catholic;Sardinian;Latin;Land;Europe;Western Europe;Italy;Western Mediterranean Islands
128;Kärnten;17.0;6.0;6.0;5.0;Iron;Wien;;Austria;Catholic;Austrian;Germanic;Land;Europe;Western Europe;South Germany;Inner Austria
129;Krain;16.0;7.0;7.0;2.0;Livestock;Venice;;Austria;Catholic;Austrian;Germanic;Land;Europe;Western Europe;South Germany;Carniola
130;Istria;8.0;2.0;3.0;3.0;Salt;Venice;;Venice;Catholic;Croatian;South Slavic;Land;Europe;Western Europe;South Germany;Carniola
131;Zagreb;7.0;3.0;3.0;1.0;Cloth;Ragusa;;Hungary;Catholic;Croatian;South Slavic;Land;Europe;Eastern Europe;Balkans;Croatia
132;Steiermark;13.0;5.0;5.0;3.0;Grain;Wien;;Austria;Catholic;Austrian;Germanic;Land;Europe;Western Europe;South Germany;Inner Austria
133;Linz;14.0;5.0;5.0;4.0;Grain;Wien;;Austria;Catholic;Austrian;Germanic;Land;Europe;Western Europe;South Germany;Austria Proper
134;Wien;21.0;7.0;7.0;7.0;Wine;Wien;Inland Center of Trade;Austria;Catholic;Austrian;Germanic;Land;Europe;Western Europe;South Germany;Austria Proper
135;Sopron;8.0;3.0;3.0;2.0;Grain;Wien;;Hungary;Catholic;Hungarian;Carpathian;Land;Europe;Eastern Europe;Carpathia;Transdanubia
136;Dalmatia;13.0;6.0;4.0;3.0;Wool;Ragusa;;Venice;Catholic;Croatian;South Slavic;Land;Europe;Eastern Europe;Balkans;East Adriatic
137;Ragusa;14.0;5.0;6.0;3.0;Naval supplies;Ragusa;Coastal Center of Trade;Ragusa;Catholic;Croatian;South Slavic;Land;Europe;Eastern Europe;Balkans;East Adriatic
138;Zeta;5.0;2.0;2.0;1.0;Fish;Ragusa;;Serbia;Orthodox;Serbian;South Slavic;Land;Europe;Eastern Europe;Balkans;Rascia
139;Hum;8.0;3.0;3.0;2.0;Wool;Ragusa;;Bosnia;Catholic;Serbian;South Slavic;Land;Europe;Eastern Europe;Balkans;Bosnia
140;Bosnia;7.0;3.0;3.0;1.0;Salt;Ragusa;;Bosnia;Orthodox;Serbian;South Slavic;Land;Europe;Eastern Europe;Balkans;Bosnia
141;Smederevo;8.0;3.0;3.0;2.0;Grain;Ragusa;;Serbia;Orthodox;Serbian;South Slavic;Land;Europe;Eastern Europe;Balkans;Serbia
142;Corfu;9.0;4.0;4.0;1.0;Fish;Ragusa;;Corfu;Orthodox;Greek;Byzantine;Land;Europe;Eastern Europe;Balkans;Northern Greece
143;Vlorë;4.0;2.0;1.0;1.0;Wool;Ragusa;;Ottomans;Orthodox;Albanian;South Slavic;Land;Europe;Eastern Europe;Balkans;Albania
144;Epirus;8.0;3.0;3.0;2.0;Wool;Ragusa;;Ottomans;Orthodox;Greek;Byzantine;Land;Europe;Eastern Europe;Balkans;Northern Greece
145;Morea;9.0;3.0;3.0;3.0;Wine;Ragusa;;Byzantium;Orthodox;Greek;Byzantine;Land;Europe;Eastern Europe;Balkans;Morea
146;Athens;11.0;4.0;4.0;3.0;Fish;Ragusa;;Athens;Orthodox;Greek;Byzantine;Land;Europe;Eastern Europe;Balkans;Morea
147;Thessaly;14.0;6.0;6.0;2.0;Grain;Ragusa;;Ottomans;Orthodox;Greek;Byzantine;Land;Europe;Eastern Europe;Balkans;Northern Greece
148;Macedonia;14.0;6.0;6.0;2.0;Cloth;Ragusa;Coastal Center of Trade;Ottomans;Orthodox;Greek;Byzantine;Land;Europe;Eastern Europe;Balkans;Macedonia
149;Edirne;16.0;7.0;7.0;2.0;Grain;Constantinople;;Ottomans;Orthodox;Greek;Byzantine;Land;Europe;Eastern Europe;Balkans;Thrace
150;Tarnovo;15.0;6.0;6.0;3.0;Iron;Constantinople;;Ottomans;Orthodox;Bulgarian;South Slavic;Land;Europe;Eastern Europe;Balkans;Bulgaria
151;Constantinople;23.0;9.0;9.0;5.0;Glass;Constantinople;Coastal Center of Trade / Bosphorus Sound Toll;Byzantium;Orthodox;Greek;Byzantine;Land;Europe;Eastern Europe;Balkans;Thrace
152;Varasd;9.0;4.0;4.0;1.0;Cloth;Ragusa;;Hungary;Catholic;Croatian;South Slavic;Land;Europe;Eastern Europe;Balkans;Croatia
153;Pest;11.0;5.0;4.0;2.0;Grain;Wien;Inland Center of Trade;Hungary;Catholic;Hungarian;Carpathian;Land;Europe;Eastern Europe;Carpathia;Transdanubia
154;Hont;8.0;3.0;3.0;2.0;Gold;Wien;;Hungary;Catholic;Slovak;Carpathian;Land;Europe;Eastern Europe;Carpathia;Slovakia
155;Békés;6.0;2.0;2.0;2.0;Wine;Wien;;Hungary;Catholic;Hungarian;Carpathian;Land;Europe;Eastern Europe;Carpathia;Alföld
156;Temes;8.0;3.0;3.0;2.0;Wool;Constantinople;;Hungary;Catholic;Transylvanian;Carpathian;Land;Europe;Eastern Europe;Carpathia;Southern Transylvania
157;Bihar;5.0;2.0;2.0;1.0;Naval supplies;Constantinople;;Hungary;Orthodox;Transylvanian;Carpathian;Land;Europe;Eastern Europe;Carpathia;Northern Transylvania
158;Maros;8.0;3.0;3.0;2.0;Wool;Constantinople;;Hungary;Catholic;Transylvanian;Carpathian;Land;Europe;Eastern Europe;Carpathia;Northern Transylvania
159;Silistria;14.0;5.0;5.0;4.0;Fish;Constantinople;;Ottomans;Orthodox;Bulgarian;South Slavic;Land;Europe;Eastern Europe;Balkans;Bulgaria
160;Oltenia;10.0;4.0;4.0;2.0;Wool;Constantinople;;Wallachia;Orthodox;Romanian;Carpathian;Land;Europe;Eastern Europe;Carpathia;Wallachia
161;Tîrgoviste;16.0;6.0;6.0;4.0;Livestock;Constantinople;;Wallachia;Orthodox;Romanian;Carpathian;Land;Europe;Eastern Europe;Carpathia;Wallachia
162;Zemplén;7.0;3.0;2.0;2.0;Grain;Wien;;Hungary;Catholic;Slovak;Carpathian;Land;Europe;Eastern Europe;Carpathia;Slovakia
163;Crete;13.0;5.0;5.0;3.0;Fish;Ragusa;;Venice;Orthodox;Greek;Byzantine;Land;Europe;Eastern Europe;Balkans;Morea
164;Naxos;6.0;2.0;2.0;2.0;Wine;Constantinople;;Naxos;Orthodox;Greek;Byzantine;Land;Europe;Near East;Anatolia;Aegean Archipelago
165;Bern;13.0;5.0;5.0;3.0;Iron;Champagne;;Switzerland;Catholic;Swiss;Germanic;Land;Europe;Western Europe;South Germany;Romandie
166;Waldstätte;10.0;4.0;4.0;2.0;Iron;Rheinland;;Switzerland;Catholic;Swiss;Germanic;Land;Europe;Western Europe;South Germany;Switzerland
167;Caux;15.0;5.0;5.0;5.0;Glass;English Channel;Seine Estuary;England;Catholic;Norman;French;Land;Europe;Western Europe;France;Normandy
168;Normandie;17.0;6.0;6.0;5.0;Naval supplies;English Channel;;England;Catholic;Norman;French;Land;Europe;Western Europe;France;Normandy
169;Armor;15.0;5.0;5.0;5.0;Cloth;Bordeaux;;Brittany;Catholic;Breton;French;Land;Europe;Western Europe;France;Brittany
170;Finistère;10.0;3.0;3.0;4.0;Naval supplies;Bordeaux;;Brittany;Catholic;Breton;French;Land;Europe;Western Europe;France;Brittany
